code,ano,ivs,ivs_infraestrutura_urbana,ivs_capital_humano,ivs_renda_e_trabalho,idhm,idhm_long,idhm_educ,idhm_renda,prosp_soc,renda_per_capita,gini
310630,2010,0.322,0.183,0.369,0.412,0.686,0.813,0.606,0.655,Médio,470.05,0.42
310640,2010,0.281,0.193,0.331,0.32,0.655,0.814,0.513,0.672,Alto,524.03,0.46
310650,2010,0.416,0.417,0.413,0.419,0.628,0.816,0.524,0.58,Baixo,295.62,0.45
310665,2010,0.462,0.354,0.546,0.486,0.604,0.757,0.52,0.56,Baixo,261.24,0.41
310660,2010,0.438,0.134,0.693,0.486,0.594,0.799,0.455,0.576,Muito Baixo,288.77,0.54
310680,2010,0.438,0.38,0.483,0.452,0.62,0.796,0.495,0.605,Baixo,344.35,0.41
310690,2010,0.206,0.043,0.346,0.23,0.744,0.85,0.666,0.726,Muito Alto,735,0.53
310700,2010,0.23,0.161,0.258,0.273,0.688,0.857,0.555,0.684,Alto,565.37,0.41
310710,2010,0.247,0.101,0.35,0.291,0.703,0.855,0.587,0.694,Muito Alto,599.17,0.47
310720,2010,0.31,0.119,0.427,0.384,0.645,0.848,0.476,0.665,Médio,501.73,0.42
310730,2010,0.331,0.245,0.364,0.385,0.7,0.822,0.644,0.648,Médio,451.54,0.51
310740,2010,0.18,0.038,0.266,0.237,0.75,0.861,0.661,0.742,Muito Alto,809.9,0.49
310750,2010,0.312,0.137,0.408,0.39,0.673,0.822,0.569,0.653,Médio,464.99,0.46
310760,2010,0.185,0.035,0.229,0.29,0.735,0.862,0.662,0.696,Muito Alto,607.73,0.42
310770,2010,0.264,0.12,0.332,0.341,0.683,0.834,0.582,0.655,Alto,472.21,0.45
310780,2010,0.392,0.264,0.457,0.456,0.623,0.8,0.491,0.615,Médio,368,0.49
310790,2010,0.286,0.134,0.358,0.364,0.652,0.821,0.523,0.647,Alto,447.85,0.46
310800,2010,0.284,0.26,0.322,0.27,0.692,0.808,0.602,0.68,Alto,551.39,0.49
310810,2010,0.279,0.133,0.325,0.379,0.637,0.834,0.464,0.669,Alto,512.94,0.49
310820,2010,0.296,0.107,0.395,0.388,0.678,0.796,0.598,0.655,Alto,472.15,0.47
310825,2010,0.543,0.281,0.654,0.693,0.537,0.776,0.388,0.514,Muito Baixo,195.65,0.57
310830,2010,0.205,0.03,0.313,0.27,0.73,0.865,0.64,0.703,Muito Alto,635.37,0.46
310840,2010,0.215,0.097,0.292,0.257,0.702,0.868,0.568,0.702,Muito Alto,630.12,0.47
310850,2010,0.44,0.352,0.476,0.494,0.602,0.782,0.517,0.54,Baixo,230.25,0.46
310855,2010,0.373,0.304,0.462,0.355,0.674,0.848,0.559,0.646,Médio,444.35,0.44
